"Sequence week","BA.2 count","BA.2 percent","BA.2.75 count","BA.2.75 percent","BA.2.86 count","BA.2.86 percent","JN.1 count","JN.1 percent","JN.1.13.1 count","JN.1.13.1 percent","KP.2 count","KP.2 percent","HV.1 count","HV.1 percent","XBB.1.16 count","XBB.1.16 percent","incomplete"
02/17/2024,3,1,0,0,0,0,276,99,0,0,0,0,1,0,0,0,0
02/24/2024,4,2,0,0,0,0,248,98,1,0,0,0,0,0,1,0,0
03/02/2024,4,2,0,0,0,0,177,95,4,2,1,1,0,0,0,0,0
03/09/2024,1,1,0,0,0,0,154,87,20,11,1,1,1,1,0,0,0
03/16/2024,0,0,0,0,2,2,68,76,18,20,2,2,0,0,0,0,0
03/23/2024,4,3,0,0,0,0,88,75,24,21,1,1,0,0,0,0,0
03/30/2024,0,0,0,0,0,0,87,80,17,16,5,5,0,0,0,0,0
04/06/2024,1,1,0,0,0,0,80,71,29,26,3,3,0,0,0,0,0
04/13/2024,0,0,0,0,0,0,63,73,17,20,6,7,0,0,0,0,0
04/20/2024,4,4,0,0,0,0,68,63,25,23,11,10,0,0,0,0,0
04/27/2024,1,1,1,1,0,0,47,58,12,15,20,25,0,0,0,0,0
05/04/2024,0,0,1,1,1,1,50,65,8,10,17,22,0,0,0,0,7250
05/11/2024,0,0,0,0,0,0,34,58,7,12,18,31,0,0,0,0,7250
