<<<<<<< HEAD
MEASURE,LAST_7_DAY,WEEKLY_AVG_LAST_4_WKS,TOTAL
Percent Positivity,4.93,4.02,
Cases,15789,12305,314842
Probable Cases,5781,4342,31758
Total Cases,21570,16647,346600
Hospitalizations,1051,818,63121
Confirmed Deaths,109,81,19694
"Updated: December 9, at 1 p.m.",,,
=======
MEASURE,LAST_7_DAY,WEEKLY_AVG_LAST_4_WKS,TOTAL
Percent Positivity,5.12,3.99,
Cases,14926,11866,312281
Probable Cases,5055,4056,30240
Total Cases,19981,15923,342521
Hospitalizations,997,780,62916
Confirmed Deaths,103,78,19691
"Updated: December 8, at 1 p.m.",,,
>>>>>>> 2a2295acc84a0c6f42617bfd60236d7b13c264e9
