<<<<<<< HEAD
BOROUGH_GROUP,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
Bronx,4637.12,968.26,289.03,65764,13732,4099
Brooklyn,3513.61,705.53,230.09,89945,18061,5890
Manhattan,2664.57,546.75,158.47,43398,8905,2581
Queens,4070.18,856.75,272.69,91736,19310,6146
StatenIsland,5035.46,653.8,205.4,23976,3113,978
Citywide,3776.53,757.14,236.23,314842,63121,19694
=======
BOROUGH_GROUP,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
Bronx,4606.87,966.29,289.31,65335,13704,4103
Brooklyn,3483.76,703.43,229.97,89181,18007,5887
Manhattan,2643.39,545.77,158.84,43053,8889,2587
Queens,4037.61,853.65,272.47,91002,19240,6141
StatenIsland,4974.77,646.02,204.35,23687,3076,973
Citywide,3745.81,754.68,236.19,312281,62916,19691
>>>>>>> 2a2295acc84a0c6f42617bfd60236d7b13c264e9
