<<<<<<< HEAD
POVERTY_GROUP,CASE_RATE_ADJ,HOSPITALIZED_RATE_ADJ,DEATH_RATE_ADJ,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
Low poverty,2915.39,399.78,121.69,50718,8334,2698
Medium poverty,3340.51,626.61,197.83,124817,25520,8350
High poverty,3605.06,779.3,235.86,76151,17072,5243
Very high poverty,4228.2,954.28,281.51,47802,10571,3017
=======
POVERTY_GROUP,CASE_RATE_ADJ,HOSPITALIZED_RATE_ADJ,DEATH_RATE_ADJ,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
Low poverty,2886.23,396.94,121.59,50260,8274,2696
Medium poverty,3310.91,624.91,197.87,123779,25452,8352
High poverty,3574.46,777.03,235.77,75516,17020,5241
Very high poverty,4196.06,952.08,281.5,47430,10547,3017
>>>>>>> 2a2295acc84a0c6f42617bfd60236d7b13c264e9
