<<<<<<< HEAD
SEX_GROUP,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
Female,3592.55,643.66,181.76,156577,28053,7922
Male,3961.28,880.87,295.69,157597,35045,11764
Citywide,3776.53,757.14,236.23,314842,63121,19694
=======
SEX_GROUP,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
Female,3561.44,641.43,181.65,155221,27956,7917
Male,3928.95,878.06,295.72,156311,34933,11765
Citywide,3745.81,754.68,236.19,312281,62916,19691
>>>>>>> 2a2295acc84a0c6f42617bfd60236d7b13c264e9
