<<<<<<< HEAD
RACE_GROUP,CASE_RATE_ADJ,HOSPITALIZED_RATE_ADJ,DEATH_RATE_ADJ,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
Asian/Pacific-Islander,1211.63,310.7,109.7,16179,4320,1469
Black/African-American,2265.4,772.84,248.84,45098,16473,5416
Hispanic/Latino,2788.08,786.61,266.32,67455,18586,6055
White,1895.93,382,128.15,55291,13538,5056
=======
RACE_GROUP,CASE_RATE_ADJ,HOSPITALIZED_RATE_ADJ,DEATH_RATE_ADJ,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
Asian/Pacific-Islander,1197.44,309.25,109.57,15998,4299,1467
Black/African-American,2251.89,771.23,248.65,44851,16439,5412
Hispanic/Latino,2766.08,783.84,266.24,66917,18520,6054
White,1876.25,379.97,128.24,54764,13467,5059
>>>>>>> 2a2295acc84a0c6f42617bfd60236d7b13c264e9
