<<<<<<< HEAD
AGE_GROUP,DEATH_COUNT_TOTAL,DEATH_COUNT_ILLNESS,DEATH_COUNT_NO_ILLNESS,DEATH_COUNT_PENDING_ILLNESS
0-17,16,14,2,0
18-24,35,24,1,10
25-34,191,151,5,35
35-44,524,422,18,84
45-54,1310,1105,41,164
55-64,3085,2800,45,240
65-74,4855,4341,7,507
75+,9678,8388,4,1286
=======
AGE_GROUP,DEATH_COUNT_TOTAL,DEATH_COUNT_ILLNESS,DEATH_COUNT_NO_ILLNESS,DEATH_COUNT_PENDING_ILLNESS
0-17,16,14,2,0
18-24,35,24,1,10
25-34,192,151,5,36
35-44,525,422,18,85
45-54,1310,1104,41,165
55-64,3090,2804,45,241
65-74,4851,4341,7,503
75+,9672,8393,4,1275
>>>>>>> 2a2295acc84a0c6f42617bfd60236d7b13c264e9
