group,subgroup,BK_CONFIRMED_CASE_COUNT,BK_PROBABLE_CASE_COUNT,BK_CASE_COUNT,BK_CONFIRMED_CASE_RATE,BK_CASE_RATE,BX_CONFIRMED_CASE_COUNT,BX_PROBABLE_CASE_COUNT,BX_CASE_COUNT,BX_CONFIRMED_CASE_RATE,BX_CASE_RATE,MN_CONFIRMED_CASE_COUNT,MN_PROBABLE_CASE_COUNT,MN_CASE_COUNT,MN_CONFIRMED_CASE_RATE,MN_CASE_RATE,QN_CONFIRMED_CASE_COUNT,QN_PROBABLE_CASE_COUNT,QN_CASE_COUNT,QN_CONFIRMED_CASE_RATE,QN_CASE_RATE,SI_CONFIRMED_CASE_COUNT,SI_PROBABLE_CASE_COUNT,SI_CASE_COUNT,SI_CONFIRMED_CASE_RATE,SI_CASE_RATE
Boroughwide,Boroughwide,913019,183720,1096739,35666.16,42842.99,505153,139973,645126,35619.13,45488.85,551049,135435,686484,33833.55,42149.04,846612,199807,1046419,37562.79,46427.9,212297,52394,264691,44586.82,55590.65
Age,0-4,41101,6861,47962,22468.65,26219.35,24795,4955,29750,24745.76,29690.92,18623,2816,21439,24457.61,28155.86,35210,6880,42090,25682.92,30701.34,7898,1608,9506,28873.29,34751.77
Age,5-12,69126,12731,81857,27433.63,32486.1,41092,11826,52918,26560.51,34204.45,26179,5490,31669,26390.47,31924.82,55672,12447,68119,28415.86,34769,15757,3375,19132,34437.81,41814.07
Age,13-17,41719,8835,50554,29764.89,36068.32,25498,8219,33717,27681.95,36604.92,17197,3983,21180,30755.57,37878.87,35595,9082,44677,31008.25,38919.94,10949,2761,13710,36660.41,45905.04
Age,18-24,80726,18162,98888,38842.74,47581.7,45345,15141,60486,32541.87,43407.82,62604,15849,78453,42982.72,53864.34,70860,18772,89632,41155.04,52057.7,19592,5222,24814,49384.88,62547.8
Age,25-34,185829,41540,227369,39534.64,48372.16,87727,25673,113400,38581.16,49871.8,134226,35392,169618,37091.4,46871.47,154991,38029,193020,43091.72,53664.82,35015,8595,43610,54103.12,67383.61
Age,35-44,144545,30045,174590,40377.28,48770.06,77438,21731,99169,43166.44,55280,82044,19788,101832,35038.03,43488.77,135303,31287,166590,44188.51,54406.51,31882,7506,39388,53878.39,66563.02
Age,45-54,114176,22708,136884,38655.77,46343.86,70014,18862,88876,40292.35,51147.24,64099,16010,80109,32773.3,40959.08,121568,28183,149751,40630.88,50050.3,31255,7528,38783,48705.04,60436.02
Age,55-64,104482,20082,124564,36566.05,43594.24,66340,17643,83983,40815.82,51670.72,60596,15110,75706,32922.05,41131.38,112737,26843,139580,37520.47,46454.2,29092,7400,36492,43992.14,55182.22
Age,65-74,72890,13440,86330,34669.41,41062.01,37834,9418,47252,36134.59,45129.56,43246,11177,54423,28963.71,36449.42,69898,16497,86395,33624.37,41560.23,17418,4879,22297,37330.42,47787.14
Age,75+,58000,9096,67096,36792.46,42562.53,28798,6425,35223,34257.64,41900.72,41854,9702,51556,33005.28,40656.1,54453,11692,66145,33936.83,41223.65,13410,3486,16896,41082.04,51761.53
Race/ethnicity,Asian/Pacific-Islander,91789,15664,107453,28506.48,33349.78,17941,4862,22803,30595.17,38952.25,56856,12481,69337,26750.68,32470.07,177535,38800,216335,29296.1,35741.34,16236,3790,20026,31841.23,39222.43
Race/ethnicity,Black/African-American,192177,38473,230650,24936.13,29998.15,120539,29478,150017,28779.99,35877.75,62857,13808,76665,30304.23,37056.73,112112,26346,138458,27429.33,33925.17,15169,3687,18856,34030.58,42234.68
Race/ethnicity,Hispanic/Latino,157385,33430,190815,32540.59,39409.08,254944,69796,324740,32155.82,40911.54,129645,30614,160259,30375.45,37526.15,230579,51657,282236,36160.58,44236.69,36382,10081,46463,41876.32,53386.32
Race/ethnicity,White,256493,56966,313459,26706.26,32646.04,39891,11100,50991,31255.41,40004.26,194842,53775,248617,24256.67,30635.17,163598,44225,207823,28707.83,36411.28,111686,26211,137897,39393.62,48386.73
Sex,Female,508643,105013,613656,37741.31,45533.27,289130,84580,373710,38619.72,49917.25,300446,76258,376704,35048.55,43944.43,461155,111535,572690,39755.8,49371.15,112923,28613,141536,46126.23,57813.92
Sex,Male,402503,76571,479074,33204.5,39521.23,215445,54208,269653,32177.68,40273.89,246805,57626,304431,31991.19,39460.75,384173,86037,470210,35119.93,42985.17,99231,23369,122600,42895.86,52997.88
