group,subgroup,CONFIRMED_CASE_RATE,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,CONFIRMED_CASE_COUNT,PROBABLE_CASE_COUNT,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
Age group,0-4,24176.56,28555.63,1004.17,,126617,22934,149551,5259,
Age group,5-12,27773.87,33883.63,309.27,,207626,45674,253300,2312,
Age group,13-17,30219.56,37774.22,485.62,,130804,32700,163504,2102,
Age group,0-17,,,,3.81,,,,,65
Age group,18-24,39546.12,49845.97,999.19,11.64,278670,72580,351250,7041,82
Age group,25-34,40217.73,50186.93,1259.42,29.52,596710,147913,744623,18686,438
Age group,35-44,41364.81,50977.74,1739.37,94.03,470279,109290,579569,19775,1069
Age group,45-54,38935.71,47917.05,2440.55,260.78,400293,92336,492629,25091,2681
Age group,55-64,37257.48,45876.63,4080.78,658.81,372175,86099,458274,40764,6581
Age group,65-74,33423.44,41033.26,6524.39,1485.96,240246,54699,294945,46897,10681
Age group,75+,34740.3,41830.45,13418.92,4566.87,195105,39819,234924,75362,25648
Sex,Female,38250.12,47463.46,2788.17,480.68,1667085,401552,2068637,121519,20950
Sex,Male,33805.75,41233.61,3061.18,660.91,1344941,295513,1640454,121787,26294
Borough,Bronx,35503.91,45297.69,3647.14,626.92,503519,138896,642415,51724,8891
Borough,Brooklyn,35564.04,42683.18,2862.73,577.48,910405,182243,1092648,73283,14783
Borough,Manhattan,33737.7,41948.33,2323.81,401.61,549488,133727,683215,37848,6541
Borough,Queens,37438.21,46211.65,2917.26,626.61,843804,197741,1041545,65751,14123
Borough,StatenIsland,44478.65,55383.36,3090.67,610.32,211782,51922,263704,14716,2906
Race,Asian/Pacific-Islander,28803.43,34810.4,1625.22,573.77,359671,75048,434719,21831,7520
Race,Black/African-American,27078.12,33142.45,3161.01,963.08,501600,111043,612643,65596,20856
Race,Hispanic/Latino,33231.55,41202.22,3000.36,966.18,807134,194337,1001471,70712,21820
Race,White,27627.33,34428.93,1817.81,628.18,764958,190769,955727,64261,24838
Poverty,Low poverty,33954.95,42915.5,1727.99,339.81,551320,148293,699613,35374,7516
Poverty,Medium poverty,34514.33,42993.33,2401.11,471.79,1222817,300120,1522937,96427,19868
Poverty,High poverty,35140.35,42066.25,2886.3,550.54,726989,143411,870400,62890,12202
Poverty,Very high poverty,34630.86,42594.62,3618.27,623.36,398086,91945,490031,40317,6657
Citywide,,36224.44,44676.08,2919.04,566.72,3019965,704598,3724563,243355,47246
